,TreeID,qLegalStatus,qSpecies,qAddress,SiteOrder,qSiteInfo,qCaretaker,PlantDate,DBH,PlotSize,Latitude,Longitude,Scientific_Name,Common_Name
6,133773,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,2460 Scott St,1.0,Sidewalk: Curb side : Cutout,Private,,16,Width 4ft,37.79246726,-122.4395335,Platanus x hispanica ,Sycamore: London Plane
8,209974,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,634 Miramar Ave,1.0,Sidewalk: Curb side : Cutout,Private,,6,Width 3ft,37.72831263,-122.4581057,Metrosideros excelsa ,New Zealand Xmas Tree
13,29149,DPW Maintained,Lophostemon confertus :: Brisbane Box,301X Jones St,1.0,Sidewalk: Curb side : Cutout,DPW,6/13/15 0:00,3,3x3,37.7839498,-122.4126863,Lophostemon confertus ,Brisbane Box
15,134799,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,1070 Lombard St,3.0,Sidewalk: Curb side : Yard,Private,,9,,37.80213141,-122.4191471,Platanus x hispanica ,Sycamore: London Plane
19,177625,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,600 Italy Ave,2.0,Sidewalk: Curb side : Cutout,Private,,8,Width 2ft,37.71603005,-122.4345534,Metrosideros excelsa ,New Zealand Xmas Tree
22,123907,DPW Maintained,Pittosporum undulatum :: Victorian Box,151 10th Ave,1.0,Sidewalk: Curb side : Cutout,Private,,17,Width 4ft,37.78551,-122.4689918,Pittosporum undulatum ,Victorian Box
26,246246,DPW Maintained,Pittosporum undulatum :: Victorian Box,90 Frederick St,1.0,Sidewalk: Curb side : Cutout,Private,,11,Width 0ft,37.76753847,-122.4443178,Pittosporum undulatum ,Victorian Box
30,21565,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,1458 Sutter St,1.0,Sidewalk: Curb side : Cutout,DPW,,18,4X4,37.78729185,-122.4243405,Platanus x hispanica ,Sycamore: London Plane
33,19262,DPW Maintained,Pittosporum undulatum :: Victorian Box,1335 Scott St,1.0,Sidewalk: Curb side : Cutout,Private,,18,4X4,37.78219531,-122.4376084,Pittosporum undulatum ,Victorian Box
34,4221,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,3969 Cesar Chavez St,1.0,Sidewalk: Curb side : Cutout,DPW,,18,3X3,37.7475408,-122.4285472,Platanus x hispanica ,Sycamore: London Plane
35,3015,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,2451X California St,1.0,Sidewalk: Curb side : Cutout,DPW,,25,2X2,37.78873184,-122.4346644,Platanus x hispanica ,Sycamore: London Plane
36,183551,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,1200 Vicente St,1.0,Sidewalk: Curb side : Cutout,Private,,16,Width 0ft,37.73920093,-122.4798918,Metrosideros excelsa ,New Zealand Xmas Tree
38,201010,DPW Maintained,Lophostemon confertus :: Brisbane Box,2290 03rd St,1.0,Sidewalk: Curb side : Cutout,Private,,2,Width 2ft,37.76098758,-122.3887564,Lophostemon confertus ,Brisbane Box
39,235173,DPW Maintained,Pittosporum undulatum :: Victorian Box,4044 22nd St,1.0,Sidewalk: Curb side : Cutout,Private,,20,Width 3ft,37.75437628,-122.4373414,Pittosporum undulatum ,Victorian Box
67,14053,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,1355 Market St,9.0,Sidewalk: Curb side : Cutout,DPW,,3,4X4,37.77713184,-122.4165543,Platanus x hispanica ,Sycamore: London Plane
86,182517,DPW Maintained,Pittosporum undulatum :: Victorian Box,1610 Lawton St,2.0,Sidewalk: Curb side : Cutout,Private,,14,Width 0ft,37.75789278,-122.4801738,Pittosporum undulatum ,Victorian Box
87,195389,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,190x Beale St,4.0,Sidewalk: Curb side : Cutout,Private,,8,Width 4ft,37.79001781,-122.3945589,Platanus x hispanica ,Sycamore: London Plane
95,229157,DPW Maintained,Lophostemon confertus :: Brisbane Box,3195 26th St,1.0,Sidewalk: Curb side : Cutout,Private,,5,Width 3ft,37.74925584,-122.4135009,Lophostemon confertus ,Brisbane Box
97,5922,Permitted Site,Lophostemon confertus :: Brisbane Box,1300X Eddy St,5.0,Sidewalk: Curb side : Cutout,Private,5/7/92 0:00,12,4X4,37.78206203,-122.4296075,Lophostemon confertus ,Brisbane Box
106,244463,DPW Maintained,Pittosporum undulatum :: Victorian Box,406 Steiner St,3.0,Sidewalk: Curb side : Cutout,Private,,6,Width 0ft,37.77309617,-122.4322512,Pittosporum undulatum ,Victorian Box
107,115134,Permitted Site,Lophostemon confertus :: Brisbane Box,499X MAIN ST,12.0,Sidewalk: Curb side : Cutout,Private,,10,,37.78724942,-122.3889664,Lophostemon confertus ,Brisbane Box
110,67486,DPW Maintained,Pittosporum undulatum :: Victorian Box,617 Wisconsin St,1.0,Sidewalk: Curb side : Cutout,Private,9/8/92 0:00,6,,37.75926202,-122.3990347,Pittosporum undulatum ,Victorian Box
112,15201,DPW Maintained,Lophostemon confertus :: Brisbane Box,1120 Mission St,4.0,Sidewalk: Curb side : Cutout,DPW,4/12/95 0:00,6,3X3,37.77888219,-122.4114764,Lophostemon confertus ,Brisbane Box
116,250909,DPW Maintained,Pittosporum undulatum :: Victorian Box,283 29th Ave,1.0,Sidewalk: Curb side : Yard,Private,,13,Width 4ft,37.78402696,-122.4893957,Pittosporum undulatum ,Victorian Box
120,1509,DPW Maintained,Pittosporum undulatum :: Victorian Box,364 Arguello Blvd,1.0,Sidewalk: Curb side : Cutout,DPW,10/15/96 0:00,9,3X3,37.78454089,-122.4587286,Pittosporum undulatum ,Victorian Box
123,202410,DPW Maintained,Lophostemon confertus :: Brisbane Box,300 Beale St,3.0,Sidewalk: Curb side : Cutout,Private,,13,Width 3ft,37.78838258,-122.3925036,Lophostemon confertus ,Brisbane Box
124,22038,DPW Maintained,Lophostemon confertus :: Brisbane Box,2895 03rd St,6.0,Sidewalk: Curb side : Cutout,DPW,2/14/95 0:00,3,3X3,37.75340073,-122.3876708,Lophostemon confertus ,Brisbane Box
132,95145,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,3738 Geary Blvd,1.0,Sidewalk: Curb side : Cutout,Private,,4,3x3,37.78137546,-122.4596769,Metrosideros excelsa ,New Zealand Xmas Tree
133,57164,DPW Maintained,Pittosporum undulatum :: Victorian Box,2989 Jackson St,1.0,Sidewalk: Curb side : Cutout,Private,10/26/74 0:00,15,,37.79116984,-122.4443019,Pittosporum undulatum ,Victorian Box
135,10479,DPW Maintained,Lophostemon confertus :: Brisbane Box,1654 Haight St,1.0,Sidewalk: Curb side : Cutout,DPW,12/2/07 0:00,12,3X3,37.769751,-122.4494797,Lophostemon confertus ,Brisbane Box
145,1562,DPW Maintained,Pittosporum undulatum :: Victorian Box,561 Arguello Blvd,1.0,Sidewalk: Curb side : Cutout,Private,,30,3X3,37.78004905,-122.4588994,Pittosporum undulatum ,Victorian Box
153,13911,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,1067 Market St,2.0,Sidewalk: Curb side : Cutout,DPW,,30,4X4,37.78097423,-122.4116357,Platanus x hispanica ,Sycamore: London Plane
155,129971,DPW Maintained,Lophostemon confertus :: Brisbane Box,245 Taylor St,2.0,Sidewalk: Curb side : Cutout,Private,,7,Width 4ft,37.78486671,-122.4111954,Lophostemon confertus ,Brisbane Box
180,26766,DPW Maintained,Lophostemon confertus :: Brisbane Box,1661 Pine St,13.0,Sidewalk: Curb side : Cutout,Private,,8,3X3,37.78926544,-122.422703,Lophostemon confertus ,Brisbane Box
188,141185,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,1953 O'Farrell St,2.0,Sidewalk: Curb side : Cutout,Private,,13,Width 0ft,37.78268237,-122.4368343,Metrosideros excelsa ,New Zealand Xmas Tree
190,202002,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,200 Paul Ave,5.0,Sidewalk: Curb side : Cutout,Private,,4,Width 3ft,37.72303938,-122.3981014,Platanus x hispanica ,Sycamore: London Plane
192,37189,DPW Maintained,Pittosporum undulatum :: Victorian Box,1486 30th Ave,1.0,Sidewalk: Curb side : Cutout,Private,4/12/01 0:00,5,,37.75957389,-122.488576,Pittosporum undulatum ,Victorian Box
195,133580,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,3421 Pacific Ave,2.0,Sidewalk: Curb side : Cutout,Private,,8,Width 2ft,37.791052,-122.451467,Platanus x hispanica ,Sycamore: London Plane
204,120030,DPW Maintained,Pittosporum undulatum :: Victorian Box,5250 Fulton St,5.0,Sidewalk: Property side : Yard,Private,,9,Width 6ft,37.77248638,-122.4882967,Pittosporum undulatum ,Victorian Box
208,113643,Planning Code 138.1 required,Lophostemon confertus :: Brisbane Box,1400 MISSION ST,5.0,Sidewalk: Curb side : Cutout,Private,2/9/16 0:00,3,4x6,37.77527096,-122.4159838,Lophostemon confertus ,Brisbane Box
209,250424,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,66 Seacliff Ave,1.0,Sidewalk: Curb side : Yard,Private,,16,Width 4ft,37.78895714,-122.4859748,Metrosideros excelsa ,New Zealand Xmas Tree
214,5026,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,5320 Diamond Heights Blvd,10.0,Sidewalk: Curb side : Cutout,Private,1/6/92 0:00,3,2X2,37.74277322,-122.436671,Metrosideros excelsa ,New Zealand Xmas Tree
218,184542,Permitted Site,Metrosideros excelsa :: New Zealand Xmas Tree,1701 40th Ave,1.0,Sidewalk: Curb side : Cutout,Private,2/13/18 0:00,3,3x3,37.75497106,-122.4991718,Metrosideros excelsa ,New Zealand Xmas Tree
226,24492,Permitted Site,Lophostemon confertus :: Brisbane Box,495X Fell St,6.0,Sidewalk: Curb side : Cutout,Private,6/24/95 0:00,6,3X3,37.77560902,-122.4249888,Lophostemon confertus ,Brisbane Box
227,177596,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,2969 Alemany Blvd,1.0,Sidewalk: Curb side : Cutout,DPW,1/30/18 0:00,17,Width 2ft,37.71136852,-122.4526619,Metrosideros excelsa ,New Zealand Xmas Tree
230,234164,DPW Maintained,Pittosporum undulatum :: Victorian Box,1800 Alabama St,1.0,Sidewalk: Curb side : Yard,Private,,3,Width 3ft,37.74422314,-122.4104706,Pittosporum undulatum ,Victorian Box
233,119551,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,601 30th Ave,29.0,Sidewalk: Curb side : Cutout,Private,,4,Width 3ft,37.77738951,-122.4899942,Metrosideros excelsa ,New Zealand Xmas Tree
234,131545,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,1338 Clay St,2.0,Sidewalk: Curb side : Cutout,Private,,11,Width 3ft,37.79324076,-122.4147408,Metrosideros excelsa ,New Zealand Xmas Tree
237,49525,DPW Maintained,Lophostemon confertus :: Brisbane Box,575@ DIVISION 10th St,4.0,Sidewalk: Curb side : Cutout,Private,4/23/03 0:00,7,,37.76969642,-122.4087483,Lophostemon confertus ,Brisbane Box
